Gender,Country,treatment,work_interfere,family_history,remote_work,mental_health_consequence,benefits,Age,cluster
Female,United States,Yes,Often,No,No,No,Yes,37,1
Male,United States,No,Rarely,No,No,Maybe,Don't know,44,1
Male,Canada,No,Rarely,No,No,No,No,32,1
Male,United Kingdom,Yes,Often,Yes,No,Yes,No,31,1
Male,United States,No,Never,No,Yes,No,Yes,31,1
Male,United States,No,Sometimes,Yes,No,No,Yes,33,1
Female,United States,Yes,Sometimes,Yes,Yes,Maybe,No,35,1
Male,Canada,No,Never,No,Yes,No,No,39,1
Female,United States,Yes,Sometimes,Yes,No,Maybe,Yes,42,1
Male,Canada,No,Never,No,No,No,Don't know,23,1
Male,United States,Yes,Sometimes,No,Yes,No,Don't know,31,1
Male,Bulgaria,No,Never,No,Yes,No,Don't know,29,1
Female,United States,Yes,Sometimes,Yes,No,Yes,Yes,42,1
Male,United States,No,Never,Yes,No,No,Don't know,36,1
Male,Canada,No,Never,No,No,No,Don't know,27,1
Female,United States,Yes,Rarely,Yes,No,No,Yes,29,1
Male,United Kingdom,Yes,Sometimes,No,Yes,Maybe,Don't know,23,1
Male,United States,Yes,Sometimes,No,No,Maybe,Yes,32,1
Male,United States,No,Sometimes,Yes,Yes,No,Yes,46,1
Male,United States,Yes,Sometimes,Yes,No,Maybe,Yes,29,1
Male,United States,No,Never,No,Yes,No,No,31,1
Male,United States,Yes,Often,No,Yes,Maybe,Yes,46,1
Male,United States,Yes,Never,No,No,Maybe,Don't know,41,1
Male,United States,Yes,Rarely,Yes,No,No,Yes,33,1
Male,United States,Yes,Sometimes,Yes,No,Yes,Yes,35,1
Female,United States,Yes,Rarely,Yes,Yes,No,Yes,35,1
Male,United States,Yes,Sometimes,No,Yes,No,Don't know,34,1
Male,United Kingdom,No,Sometimes,No,No,Yes,No,37,1
Male,United Kingdom,No,Never,No,Yes,Yes,No,32,1
Male,United States,No,Rarely,Yes,Yes,Yes,No,31,-1
Male,United Kingdom,Yes,Sometimes,Yes,Yes,Maybe,Don't know,30,1
Male,United States,Yes,Sometimes,Yes,Yes,Maybe,Yes,42,1
Female,United States,Yes,Sometimes,No,No,Maybe,Yes,40,1
Male,United States,Yes,Rarely,No,No,No,No,27,1
Male,Canada,No,Rarely,No,No,Yes,No,29,1
Male,United States,Yes,Rarely,No,Yes,No,Yes,35,1
Male,United Kingdom,Yes,Sometimes,No,No,Maybe,No,24,1
Male,Canada,Yes,Sometimes,Yes,No,Maybe,No,27,1
Male,Netherlands,No,Often,No,No,Yes,No,18,-1
Male,United States,Yes,Sometimes,No,No,No,Don't know,30,1
Female,United States,Yes,Sometimes,Yes,No,No,Yes,38,1
Male,Canada,No,Sometimes,No,No,No,No,26,1
Male,United States,Yes,Rarely,Yes,No,Maybe,Yes,30,1
Male,United States,Yes,Often,Yes,No,Maybe,No,22,1
Male,United States,No,Never,No,Yes,Maybe,Don't know,32,1
Male,United States,Yes,Rarely,Yes,No,Maybe,Yes,27,1
Male,United States,Yes,Sometimes,Yes,Yes,No,Don't know,24,1
Male,Canada,Yes,Often,Yes,Yes,Yes,Don't know,33,1
Male,United States,Yes,Sometimes,Yes,No,Yes,Yes,44,1
Female,Poland,Yes,Sometimes,No,Yes,No,Don't know,26,1
Male,United Kingdom,No,Never,No,No,No,Yes,27,1
Male,Canada,No,Sometimes,No,No,No,Don't know,35,1
Male,United States,No,Sometimes,Yes,Yes,Yes,Yes,40,1
Female,Australia,Yes,Often,Yes,Yes,No,No,23,-1
Male,United States,No,Sometimes,No,Yes,Maybe,Yes,36,1
Male,United States,No,Rarely,No,Yes,Maybe,No,34,1
Male,France,No,Never,No,No,Maybe,No,28,1
Male,Canada,No,Never,No,No,No,Don't know,34,1
Male,United States,No,Never,No,No,Maybe,Don't know,33,1
Male,United States,No,Sometimes,Yes,Yes,No,No,31,1
Male,United States,Yes,Sometimes,Yes,Yes,Yes,No,32,1
Male,Germany,No,Never,No,Yes,No,Don't know,28,1
Male,United States,No,Sometimes,Yes,Yes,No,Yes,38,1
Male,United Kingdom,No,Never,No,No,No,Yes,23,1
Male,Canada,No,Never,No,No,No,No,30,1
Male,United States,No,Never,Yes,No,Yes,No,33,1
Male,United Kingdom,Yes,Often,No,No,Maybe,No,39,1
Female,United States,Yes,Rarely,Yes,Yes,Yes,Yes,34,1
Female,United States,Yes,Sometimes,No,No,Maybe,Yes,29,1
Male,United States,No,Never,No,No,No,Yes,31,1
Male,United States,Yes,Sometimes,No,No,No,No,40,1
Female,Canada,Yes,Sometimes,No,No,Maybe,Yes,25,1
Male,United States,No,Never,No,No,No,Don't know,29,1
Male,United States,No,Rarely,Yes,No,Maybe,Don't know,24,1
Male,Mexico,Yes,Sometimes,Yes,No,No,Don't know,31,1
Male,United States,Yes,Often,No,No,No,No,30,1
Female,Canada,Yes,Sometimes,Yes,No,Yes,No,26,-1
Female,United States,No,Never,No,No,Maybe,Yes,44,1
Male,United States,Yes,Sometimes,Yes,Yes,No,Yes,33,1
Male,United States,No,Never,No,No,No,Yes,29,1
Male,United States,No,Rarely,Yes,No,No,Yes,35,1
Male,United States,Yes,Sometimes,Yes,Yes,No,Don't know,35,1
Male,Brazil,Yes,Rarely,Yes,No,Maybe,No,28,1
Male,United States,No,Never,Yes,Yes,Maybe,Yes,34,1
Male,United States,Yes,Sometimes,No,No,Maybe,Yes,32,1
Male,United States,Yes,Sometimes,No,No,Yes,Yes,22,1
Male,United States,Yes,Sometimes,No,No,No,Yes,28,1
Male,United States,Yes,Rarely,Yes,Yes,No,Yes,45,1
Male,United States,No,Never,No,No,Maybe,Yes,32,1
Male,United Kingdom,No,Never,No,No,No,Don't know,26,1
Male,United Kingdom,No,Often,No,Yes,Yes,No,21,-1
Male,Canada,No,Rarely,No,No,Maybe,Yes,27,1
Male,United States,Yes,Rarely,No,Yes,No,No,18,1
Male,United States,No,Never,No,No,Yes,Yes,29,1
Male,United States,Yes,Sometimes,Yes,Yes,No,Don't know,33,1
Male,United States,No,Often,No,No,Maybe,Yes,36,1
Male,Canada,Yes,Never,No,No,Maybe,Yes,27,1
Male,United States,No,Never,Yes,No,Yes,Yes,27,1
Male,United States,Yes,Rarely,No,No,Yes,Yes,32,1
Male,United Kingdom,No,Sometimes,Yes,No,Maybe,No,31,1
Male,Slovenia,Yes,Sometimes,No,No,Yes,Don't know,19,1
Male,United States,Yes,Sometimes,Yes,No,Maybe,Yes,33,1
Male,United States,No,Rarely,No,Yes,Maybe,No,32,1
Male,United States,No,Never,No,No,No,Don't know,27,1
Male,Canada,Yes,Never,No,No,No,Don't know,24,1
Male,United Kingdom,No,Never,No,No,Yes,No,39,1
Male,United Kingdom,No,Never,No,No,No,Don't know,28,1
Male,United States,Yes,Often,No,No,No,Yes,39,1
Male,United States,Yes,Sometimes,Yes,No,Maybe,Don't know,38,1
Male,United Kingdom,Yes,Sometimes,No,No,Yes,No,37,1
Male,United States,No,Never,No,Yes,Yes,Don't know,35,1
Male,United States,Yes,Rarely,Yes,No,Maybe,Yes,37,1
Male,United Kingdom,No,Never,No,No,Maybe,No,24,1
Male,United States,No,Sometimes,No,No,Yes,No,23,1
Male,Ireland,Yes,Rarely,No,No,Yes,No,30,-1
Male,United States,No,Never,Yes,No,No,Don't know,32,1
Male,Poland,No,Rarely,No,Yes,No,No,28,-1
Male,United States,No,Never,No,No,No,Don't know,36,1
Male,United Kingdom,Yes,Rarely,Yes,No,Yes,Yes,37,1
Male,United States,Yes,Sometimes,Yes,No,Maybe,Don't know,25,1
Male,United States,Yes,Sometimes,Yes,No,No,Don't know,27,1
Male,United States,No,Often,No,No,Yes,Don't know,26,1
Male,United States,Yes,Rarely,No,Yes,Maybe,No,27,1
Male,United States,Yes,Sometimes,Yes,No,Maybe,Don't know,25,1
Male,United Kingdom,Yes,Sometimes,No,No,Maybe,Yes,36,1
Female,United States,Yes,Sometimes,Yes,No,Yes,Yes,25,1
Male,United States,No,Never,No,No,No,Yes,31,1
Male,United States,No,Rarely,Yes,No,Maybe,Don't know,26,1
Female,United States,Yes,Sometimes,Yes,No,No,No,33,1
Male,United States,No,Never,No,No,Maybe,No,34,1
